METADATA,Execution time: 2025-11-16 19:12:03,,Total projects collected: 1820,Total pages processed: 200,Duration: 43.50 seconds
page,code,cbsnum,name,approval,result
33,2511-150926-89-01-814115,20251111152824974N,察右前旗多蒙德运输有限公司内部新增撬式加油装置项目,加油站、加气站、充电桩项目备案,批复
33,2511-150105-04-02-771211,20251111152417959N,内蒙古电力培训中心2026年营销技术装备升级项目,交流电网通信、配电柜、电表等电气升级改造工程备案,批复
33,2511-150622-60-01-285829,20251111152021953N,内蒙古自治区鄂尔多斯市准格尔旗武根小自然人户用分布式光伏项目,太阳能热发电项目备案,批复
33,2511-150622-20-01-959672,20251111151817949N,段海顺养殖项目,农牧业项目备案,批复
33,2511-150122-04-01-634177,20251111150959931N,内蒙古大唐国际托克托发电有限责任公司托克托县10万千瓦全额自发自用新能源项目,光伏电站项目备案,批复
33,2017-152224-44-03-004647,20251111090958864N,内蒙古兴安盟突泉县杜云发光伏发电,光伏电站项目备案,批复
33,2511-150271-07-02-971990,20251111150031904N,循环水设备升级改造项目,工业项目备案（工信）,批复
33,2511-150621-60-01-638668,20251111145656899N,鄂尔多斯市腾超能源有限公司达拉特旗王爱召镇杨家圪堵村蓿亥哈社燕艮锁分布式光伏发电项目,光伏电站项目备案,批复
33,2511-150103-04-01-693946,20251111145142887N,呼和浩特市回民区“塞外安康新居”公祖房建设项目消防改造工程,城市基础设施项目备案,不予许可
33,2511-150621-60-01-924387,20251111145133884N,鄂尔多斯市腾超能源有限公司达拉特旗王爱召镇四柜村蓿亥哈社张润梅等3处分布式光伏发电项目,光伏电站项目备案,批复
59,2511-150624-20-01-376683,20251107114011193N,阿尔巴斯山羊预制菜、屠宰生产建设项目,农牧业项目备案,批复
59,2509-150203-04-01-355930,20251107113629185N,广沃恒源物流仓储配套项目,仓储物流类项目备案,不予许可
59,2511-150421-04-01-181396,20251107113529182N,智创正洁能源科技（呼和浩特市）有限公司天山口镇柳家段村丁起云非自然人户用分布式光伏发电项目,光伏电站项目备案,批复
59,2505-152502-04-02-117879,20251107113256176N,内蒙古锡林郭勒盟锡林浩特市2025年小区庭院管网改造工程（二期）,城市基础设施项目初步设计审批,批复
59,2511-150104-04-01-378919,20251107113005169N,呼和浩特市玉泉区大黑河沿线文旅配套基础设施建设工程（S43机场连接线-103省道）,城市基础设施项目建议书审批,批复
59,2510-150922-04-01-730286,20251107112245140N,化德县长顺镇公共停车场项目三期,城市基础设施项目可行性研究报告审批,批复
59,2511-150421-04-01-795672,20251107111834132N,智创正洁能源科技（呼和浩特市）有限公司国营巴彦包特农场五分场马强非自然人户用分布式光伏发电项目,光伏电站项目备案,不予许可
59,2511-152527-04-05-361188,20251107111144993N,太仆寺旗二刚家庭牧场项目,农林牧水项目备案,批复
59,2511-150626-04-01-950257,20251107110558953N,乌审旗乌兰陶勒盖镇前进村民委员会巴彦高勒煤矿民用爆炸物品储存库,仓储物流类项目备案,批复
59,2511-152502-07-02-273576,20251107110544951N,液氧、液氮储罐增容改造项目,工业项目备案（工信）,
122,2510-150621-20-01-111815,20251030144626826N,达拉特旗蔺二偏家庭农场玉米种植项目,农牧业项目备案,批复
122,2406-150271-07-01-175482,20251030144137817N,生产设备及污水源热泵升级改造项目,工业项目备案（工信）,批复
122,2510-152202-04-01-985367,20251030135929776N,阿尔山市天池镇桃源礼文旅设施建设项目（一期）,政府投资社会事业项目项目建议书审批,批复
122,2510-150206-07-01-919593,20251030135032750N,内蒙古绿能稀土合金有限公司年产10000吨高纯稀土金属生产线项目,稀土冶炼分离项目、稀土深加工项目核准,
122,2510-150502-04-01-317612,20251030134915746N,2025年科尔沁区滨河大街东兴新城南门停车场充电站项目,加油站、加气站、充电桩项目备案,批复
122,2511-150202-04-02-410191,20251030130610602N,包头铝业圆棒铸造产线升级改造项目,工业项目备案（发改）,批复
122,2510-152921-04-01-363191,20251030120025497N,银巴支线巴彦浩特站综合交通枢纽及基础设施配套工程,综合客运枢纽站项目（包含客、货运站场）项目可行性研究报告审批,批复
122,2505-152922-04-01-324118,20251028113346800N,天然碱采选项目二期,工业项目备案（发改）,批复
122,2506-150923-04-01-375993,20251030115221470N,商都县东城区排水防涝建设项目,城市基础设施项目初步设计审批,批复
122,2508-150622-20-01-942061,20251030114529442N,内蒙古恒泰盛东种养殖有限公司养殖项目,农牧业项目备案,批复
12,2510-150924-04-01-323250,20251017171229377N,2026年店子镇电商直播室改造项目,城市基础设施项目建议书审批,批复
12,2505-150105-04-01-803117,20251017170950371N,呼和浩特航天经济开发区金航大道东段配套基础设施项目,城市基础设施项目备案,批复
12,2510-150924-04-01-763730,20251017170826361N,2026年店子镇店子村新建护田坝项目（二期）,城市基础设施项目建议书审批,批复
12,2510-150924-04-01-142831,20251017170700350N,2026年店子镇朱家营大南山村史馆配套改造提升项目,城市基础设施项目建议书审批,批复
12,2201-150207-04-P0-686450,20251017170443349N,包头市九原工业园区经九路（纬四路-纬九路）道路管网工程,城乡建设领域初步设计审批,批复
12,2510-150924-04-01-661738,20251017170440347N,2026年店子镇北沙滩村明长城文化墙保护项目,城市基础设施项目建议书审批,批复
12,2510-152502-04-03-343668,20251017170313345N,锡林郭勒盟源汇农牧业发展有限公司羊皮智能精深加工设备购置项目,旗县产业类项目备案,批复
12,2510-150223-04-01-596504,20251017170121343N,达茂旗低空经济产业园装备装调厂房建设项目,仓储物流类项目可行性研究报告审批,批复
12,2510-150924-04-01-455924,20251017170103341N,2026年店子镇喇嘛营村文化大院提升改造工程,城市基础设施项目建议书审批,批复
12,2510-150924-04-01-254322,20251017165817331N,2026年店子镇喇嘛营村新建护村护田坝项目,城市基础设施项目建议书审批,批复
120,2511-150627-60-01-727614,20251106163446677N,李海军、梁连君、刘占荣、邱存良、孙永祥5户250KW非自然人户用分布式光伏发电项目,光伏电站项目备案,批复
